| Вы должны быть таким, каким хотите увидеть мир. | М. Ганди.
| Жизнь, потраченная на совершение ошибок, не только достойнее, но и полезнее, чем жизнь, потраченная на ничегонеделание. | Б. Шоу.
| Кто боится страданий, тот страдает уже от своей боязни. | М. Монтень.
| Все мы гении. Но если вы будете судить рыбу по её способности взбираться на дерево, она проживёт всю жизнь, считая себя дурой. | А. Эйнштейн.
| Если вам что-то не нравится, измените это; а если не можете изменить, меняйте свой взгляд на вещи. | М. Энгельбрайт.
| На самом деле, жизнь проста, но мы настойчиво её усложняем. | Конфуций.
| Мы думаем иногда, что быть бедным значит быть голодным, раздетым и бездомным. Настоящая бедность это быть ненужным, нелюбимым и заброшенным. | Мать Тереза.
| В поисках счастья для других мы находим его для себя. | Платон.
| Обстоятельства никогда не делают жизнь невыносимой. Невыносимой она становится из-за отсутствия смысла и цели. | В. Франкл.
| Если хочешь быть счастливым на час, вздремни. Если хочешь быть счастливым на день, отправляйся на рыбалку. Если хочешь быть счастливым на год, получи наследство. Если хочешь быть счастливым на всю жизнь помоги кому-нибудь ещё. | Китайская пословица.
| Сложности делают жизнь интересной, а их преодоление делает жизнь наполненной смыслом. | Д. Марин.
| Единственный способ, позволяющий нам жить, это рост. Единственный способ расти — когда мы меняемся. Единственный способ измениться — узнавать. Единственный способ узнавать — быть открытым. И единственный способ быть открытым — это пройти сквозь себя и открыться. | Д. Белл.
| Лучше умереть значимой смертью, чем жить бессмысленной жизнью. | К. Акино.
| Стремитесь не к успеху, а к ценностям, которые он даёт. | А. Эйнштейн.
| Ваше время ограничено, не тратьте его, живя чужой жизнью. | С. Джобс.
| В моём словаре нет слова невозможно. | Н. Бонапарт.
| Либо вы управляете вашим днём, либо день управляет вами. | Д. Рон.
| Жизнь — это то, что с тобой происходит, пока ты строишь планы. | Д. Леннон.
| Неосмысленная жизнь не стоит того, чтобы жить. | Сократ.
| Сложнее всего начать действовать, всё остальное зависит только от упорства. | А. Эрхарт.
| Надо любить жизнь больше, чем смысл жизни. | Ф. Достоевский.
| Начинайте делать все, что вы можете сделать и даже то, о чем можете хотя бы мечтать. В смелости гений, сила и магия. | И. Гете.
| Слабые люди всю жизнь стараются быть не хуже других. Сильным во что бы то ни стало нужно стать лучше всех. | Б. Акунин.
| Есть только один способ избежать критики: ничего не делайте, ничего не говорите и будьте никем. | Аристотель.
| Человек, которым вам суждено стать — это только тот человек, которым вы сами решите стать. | Р. Эмерсон.
| Упади семь раз и восемь раз поднимись. | Японская поговорка.
| Если вам предлагают место в ракетоносителе, не спрашивайте, что за место! Просто займите его. | Ш. Сэндберг.
| Если нет ветра, беритесь за весла. | Латинская поговорка.
| Самое важное в мире — это семья и любовь. | Д. Вуден.
| Нет ничего лучше, чем вернуться домой к семье, поесть хорошей еды и расслабиться. | И. Шейк.
| В семейной жизни любовь — это масло, которое облегчает трение, цемент, который связывает ближе друг к другу, и музыка, которая приносит гармонию. | Ф. .
| Другие вещи могут изменить нас, но мы начинаем и заканчиваем с семьей. | Э. Брандт.
| Семья ― это та первичная среда, где человек должен учиться творить добро. | Я. Сухомлинский.
| Чтобы оценить семейное счастье, необходимо терпение; нетерпеливые натуры предпочитают несчастье. | Д. Сантаяна.
| Цель обеда есть питание и цель супружества ― семья. | Л. Толстой.
| Счастлив тот, у кого есть семья, где он может пожаловаться на свою семью. | Ж. Ренар.
| В семейной жизни главное — терпение. Любовь продолжаться долго не может. | Н. Чернышевский.
| Залог семейного счастья в доброте, откровенности, отзывчивости. | Э. Золя.
| Семья начинается с детей. | А. Герцен.
| Жена — не любовница, но друг и спутник нашей жизни, и мы заранее должны приучиться к мысли любить ее и тогда, как она будет пожилою женщиною, и тогда, как она будет старушкою. | В. Белинский.
| Лучше, если в семье руководит кто-то один. И лучше, если этот «кто-то» — любовь. | О. Муравьева.
| Семья может развиваться только с любящей женщиной в качестве ее центра. | К. Фридрих.
| Брак не может быть счастливым, если супруги до вступления в союз не узнали в совершенстве нравы, привычки и характеры друг друга. | О. Бальзак.
| Супружество — это соглашение, условия которого ежедневно пересматриваются и утверждаются заново. | Б. Бардо.
| Семья заменяет все. Поэтому, прежде чем ее завести, стоит подумать, что тебе важнее: все или семья. | Ф. Раневская.
| Вырасти в действительно здоровой семье — вот настоящая удача из удач. | Р. Скиннер.
| Семейная жизнь должна быть приключением, а не тревожной дисциплиной, в которой каждый постоянно оценивается, исполнением своих обязанностей. | М. Саперштейн.
| Семья — как галстук, напоминающий нам о вчерашнем банкетном вечере, обеспечивающий уверенность, поддержку на сегодня и дающий надежду на завтра. | Б. Оуэнс.
| Если семейство сравнить с фруктом, это был бы апельсин. Где все дольки скреплены между собой в одно целое, но притом каждая легко отделяется. С людьми похожая ситуация: вся родня живет своей жизнью, даже в разных местах, но, сообща, это одна большая семья. | Л. Погребин.
| Семья — это компас, ведущий нас правильным курсом. Она наше вдохновение для достижения больших высот. Наше утешение, когда мы иногда оступаемся, делая ошибки. | Б. Генри.
| Когда вся семья любит, поддерживает вас, это великое благословение. Но при равнодушии или враждебности родни, оставьте ваши ожидания, постаравшись найти поддержку в другом месте. | Д. Хаи.
| Супружеская любовь, которая проходит через тысячу случайностей ― самое прекрасное чудо, хотя и самое обыденное. | Ф. Мориак.
| Семейная жизнь, может быть, и никогда не бывает сплошным праздником. Умей делить не только радости, но и горе, беду, несчастье. | В. Сухомлинский.
